"player","season","game_date","points_diff","rebounds_diff","assists_diff"
"Luka Doncic",2019,2018-10-31,-7,-4,5
"Luka Doncic",2019,2018-11-30,-28,4,2
"Luka Doncic",2019,2019-01-07,-2,-5,-8
