"player","season","game_date","points_diff","rebounds_diff","assists_diff"
"Russell Westbrook",2024,2023-11-01,21,7,6
"Russell Westbrook",2024,2024-01-07,-5,-4,-2
"Russell Westbrook",2024,2024-01-23,12,2,-2
"Russell Westbrook",2024,2024-02-28,1,-7,0
