"player","season","game_date","points_diff","rebounds_diff","assists_diff"
"Anthony Davis",2020,2019-11-27,10,1,-1
"Anthony Davis",2020,2020-01-03,19,0,-2
"Anthony Davis",2020,2020-02-25,-16,-2,-3
