"player","season","game_date","points_diff","rebounds_diff","assists_diff"
"Chris Paul",2020,2019-10-28,-12,-4,-1
"Chris Paul",2020,2020-01-09,14,1,-5
"Chris Paul",2020,2020-01-20,16,1,-3
"Chris Paul",2020,2020-08-18,4,3,3
"Chris Paul",2020,2020-08-20,-11,-5,-6
"Chris Paul",2020,2020-08-22,-2,0,2
"Chris Paul",2020,2020-08-24,7,3,-3
"Chris Paul",2020,2020-08-29,-12,0,-4
"Chris Paul",2020,2020-08-31,5,5,-5
"Chris Paul",2020,2020-09-02,-2,4,6
