"player","season","game_date","points_diff","rebounds_diff","assists_diff"
"Pascal Siakam",2024,2024-02-14,2,-1,4
"Pascal Siakam",2024,2024-02-26,8,3,0
"Pascal Siakam",2024,2024-04-09,-10,0,0
